,score_train,score_test,model
NTRS,0.03218738710072111,-0.06335080335114629,"(0, 0, 3)"
NUE,0.00683782357380236,-0.017660938835831752,"(2, 0, 2)"
NVDA,-7.547419578202152e-09,-0.07170613197022391,"(0, 0, 0)"
NVR,0.04302016196543201,-0.06020649352441887,"(1, 0, 0)"
NXPI,0.03546715064478134,0.018654474572776247,"(1, 0, 1)"
O,0.06637380136818938,-0.12086731843382492,"(1, 0, 0)"
ODFL,-1.7663609241935774e-08,-0.0028053206221210214,"(0, 0, 0)"
OKE,0.042851970524259486,-0.06325677942953578,"(1, 0, 2)"
OMC,-2.2915018771385576e-08,-3.1959121601810025e-05,"(0, 0, 0)"
ON,0.022924362811086008,-0.02668353651682631,"(1, 0, 1)"
ORCL,0.014753875279227446,-0.01994244148555513,"(1, 0, 1)"
ORLY,0.030048961964950993,-0.07768732927775157,"(1, 0, 0)"
OXY,0.009301893159101238,-0.06665983439471246,"(1, 0, 0)"
PARA,0.03912280060429185,-0.04713473511391841,"(1, 0, 2)"
PAYX,-2.5630877198423718e-08,-0.004900556663175681,"(0, 0, 0)"
PCAR,0.013159650370608289,-0.004084848459377177,"(1, 0, 1)"
PCG,0.029524389701323317,0.0393377688416795,"(3, 0, 3)"
PEG,0.04870050793792757,-0.20968995303316418,"(1, 0, 1)"
PEP,0.04137852401658082,-0.16124738675818784,"(2, 0, 2)"
PFE,-2.7427919713218785e-08,-0.18103210161266348,"(0, 0, 0)"
PFG,0.02128514970054962,-0.029509267357404223,"(2, 0, 0)"
PG,0.010589907819275934,-0.032421343792955915,"(0, 0, 1)"
PGR,0.02078913663727522,0.024289111108997563,"(1, 0, 1)"
PH,-1.4563326322658554e-08,-0.027906661116273268,"(0, 0, 0)"
PHM,0.05839753456533825,-0.2016623663702386,"(3, 0, 3)"
PKG,-1.8999341877545817e-08,-0.004914190133158636,"(0, 0, 0)"
PLD,0.04339563058575158,0.044650711204241134,"(3, 0, 2)"
PM,0.013774559643215945,0.03179306770467283,"(1, 0, 1)"
PNC,0.022070571741765854,-0.00045112907043654005,"(1, 0, 1)"
PNR,0.03327299658722305,-0.0049562642754741315,"(1, 0, 1)"
PNW,0.04898135353407762,0.0022827891348760065,"(3, 0, 3)"
PODD,0.018306002884405537,-0.1253763937362875,"(2, 0, 2)"
POOL,0.03389454519483692,0.03261205902334774,"(1, 0, 0)"
PPG,0.017990079248033197,0.052116630147295506,"(1, 0, 1)"
PPL,0.08078337911560296,-0.11070925952286581,"(1, 0, 3)"
PRU,0.024866196208764957,-0.002118511522743116,"(3, 0, 1)"
PSA,-2.784615693585124e-08,-0.0003322294155321259,"(0, 0, 0)"
PTC,0.009766573021205094,0.0045665959452473315,"(2, 0, 2)"
PWR,-1.317194397998378e-08,-0.019424048334765187,"(0, 0, 0)"
PXD,0.014823335848910935,-0.02089870049246012,"(2, 0, 2)"
QCOM,0.02915919629494812,0.019101370011378238,"(3, 0, 3)"
RCL,0.050739955683893334,-0.1720570675359827,"(3, 0, 3)"
REG,0.05054575256870575,-0.0019853913494729536,"(0, 0, 1)"
REGN,-1.0797372329562904e-08,-0.00012414593022946896,"(0, 0, 0)"
RF,0.01306723339270699,-0.013882626982631319,"(1, 0, 1)"
RHI,0.013830466438957578,-0.004601657322122588,"(1, 0, 1)"
RJF,0.0014583727625234744,-0.011475847998791977,"(1, 0, 1)"
RL,-9.557952651562118e-09,-0.02503232326481397,"(0, 0, 0)"
RMD,0.026519203969029626,-0.11660458886722891,"(2, 0, 1)"
ROK,0.010630379780722121,0.014148187551470293,"(2, 0, 0)"
ROL,-2.444942359680624e-08,-1.933476909421472e-05,"(0, 0, 0)"
ROP,-2.9295551540187148e-08,-0.007626261210754937,"(0, 0, 0)"
ROST,0.03825240454390655,0.010076649333457421,"(1, 0, 0)"
RSG,0.035760192990164086,0.023107089137329506,"(1, 0, 1)"
RTX,0.051982582348938156,-0.0890483596489462,"(1, 0, 3)"
RVTY,-1.88191366934376e-08,-0.02630742812137843,"(0, 0, 0)"
SBAC,0.014992996661213898,-0.03537109737238531,"(1, 0, 1)"
SBUX,0.01390828065045202,0.0244136045837422,"(1, 0, 0)"
SCHW,-1.2394042681052042e-08,-0.011505445851463403,"(0, 0, 0)"
SHW,0.025155862959389208,0.011801080893124483,"(2, 0, 2)"
SJM,0.01337605171761691,-0.09457773480659215,"(0, 0, 1)"
SLB,0.018126818823234192,-0.03303373670809906,"(0, 0, 2)"
SMCI,0.01774288218253295,-0.06041828256303128,"(2, 0, 2)"
SNA,0.01869239336250772,0.023082819228688156,"(1, 0, 1)"
SNPS,-1.9637888870605025e-08,-0.019775990044130998,"(0, 0, 0)"
SO,0.06403266926736917,0.004274138351125778,"(3, 0, 3)"
SPG,0.02417519036682947,-0.04209065874078011,"(1, 0, 0)"
SPGI,0.006137345535630612,-0.012560656995938224,"(1, 0, 0)"
SRE,0.060381255654989974,-0.02568830446989323,"(1, 0, 3)"
STE,0.026583564889801292,0.03088314747215315,"(1, 0, 1)"
STLD,-9.438360981661731e-09,-2.0700242147064785e-06,"(0, 0, 0)"
STT,0.02334054785513129,-0.007303370277852661,"(0, 0, 3)"
STX,0.014953066589864283,-0.02356410351502891,"(2, 0, 0)"
STZ,-0.021634952627471282,0.0061342175810188415,"(2, 1, 2)"
SWK,0.039381457227892214,0.04601259096675536,"(1, 0, 1)"
SWKS,0.019548877026848488,0.009290270166110393,"(1, 0, 1)"
SYK,0.03734548003081717,0.03126814550712653,"(3, 0, 1)"
SYY,0.05913056666244365,-0.10668310233803258,"(1, 0, 0)"
T,0.017312675334933414,-0.007995176093507084,"(1, 0, 1)"
TAP,0.018271338810998405,-0.05654352709786292,"(3, 0, 1)"
TDG,0.059955747940375836,-0.13546132932103694,"(1, 0, 3)"
TDY,-1.8985321759146245e-08,-0.003649025656887961,"(0, 0, 0)"
TECH,-1.75140728586598e-08,-0.008409651019892106,"(0, 0, 0)"
