,score_train,score_test,benchmark,p_value,correlation
IRM,0.0035303143652377633,-0.005031545456172459,-0.06898444829049688,0.17569019503216007,0.23125816154183035
ISRG,0.0028379083280777317,-0.00692901351104136,-0.01714437491188181,0.22478667330685348,-0.02482776343282622
IT,0.009543348482023872,-0.0089499647183795,-0.026360865224884344,0.02576091822966456,0.015664747235748254
ITW,0.006027292601495482,0.02305002734717143,-0.02024464015547678,0.0766467018170051,0.1933876070750146
IVZ,9.917962060512764e-06,0.0002830495434041902,-0.0016434380198411258,0.9428317704371625,0.10051233323395245
J,0.007186437581076399,0.041493640429098866,-0.0049830081523924985,0.053136362257349905,0.291528379704133
JBHT,0.0005663863530758206,-0.0029175625807291716,-0.009209040186360262,0.5878244344942838,-0.042198055417416
JBL,0.0048655563507464805,-0.03178167722714953,-0.06107026220935774,0.11177453634142434,0.06930632200152746
JCI,0.0005949503428813729,-0.013603416910249022,-0.0004979676999794513,0.5785567335356478,-0.090784272790243
JKHY,0.004763729903603076,-0.013988731264040766,-0.00035821473750541344,0.11560340083431596,0.06865749164195518
JNJ,0.0001553693804872136,-0.028682464347117298,-0.0033891828896202014,0.776532762124982,-0.07679441376264541
JNPR,0.005250236913477702,0.011508388115955448,-0.00013293182357143607,0.0985149572819266,0.15385702128726464
JPM,0.0018858049452578074,-0.0061029544315762685,-0.033012349216371195,0.32251660683590977,0.025993701748736553
K,0.02420761930948745,-0.13522978941740083,-0.012500027680840908,0.0003644644388312253,-0.22190182944218695
KDP,0.0012445680215456,-0.04849519564878402,-0.0004870819539217752,0.421650373841315,-0.15617495375596843
KEY,0.01712086164741311,-0.0507827698109824,-4.820019004525555e-05,0.0027685445568651676,-0.12363192327368482
KIM,0.018859599527826454,-0.003988865068032865,-0.0022746790291707786,0.0016780302609016864,0.053997220064977314
KLAC,0.004636043439092741,0.006331035405365615,-0.046418830218792895,0.12061013689053536,0.13705306997719668
KMB,0.008548934179722356,-0.04088560101531624,-0.0031098356391281445,0.03486686238745942,-0.03236080107432117
KMI,0.0016201319101336598,0.012081192898098614,-0.001925774808238856,0.3591908978551318,0.17854592397309715
KMX,0.029026153778011432,-0.03318438481495667,-0.011838583780676926,9.304441205716083e-05,0.005756630600762675
KO,0.006890085179919625,-0.08370087754728917,-0.0017503277235708659,0.058307729635475904,-0.2903815613211583
KR,0.01424036878297441,-0.03867445573679218,-0.0029449130705201387,0.006390623651195564,-0.035185639001089175
L,0.003516994009019392,-0.016003703670063985,-0.024102031342045693,0.17650870189998766,-0.0022535285793992272
LDOS,0.002244176788345875,-0.012113524172833179,-0.0017324097874016342,0.28044873778349594,-0.02037649444712364
LEN,0.01663986349262614,-0.05529559405155471,-0.06823776787303282,0.0031814479921853916,0.025856477713152026
LH,0.01936605477847153,-0.04682408953730022,-0.011483480173039906,0.0014510001194106724,-0.09820725513887814
LHX,0.0059665514754907445,0.007929489339748907,-0.0013777480069367964,0.0781517138396636,0.13154864164646743
LIN,0.003276733889199468,0.009495572822932563,-0.03404655022925551,0.19205569322028468,0.17443382695782297
LKQ,0.03468175773001858,0.009308137053169796,-0.0016292317166450854,1.885302518009754e-05,0.18631227560102626
LLY,0.00783337690723851,-0.042340651174864075,-0.06339494035839621,0.043455288608900536,-0.08531496419090243
LNT,0.007727440440222333,0.003898039861517155,-0.00029369710968629725,0.04490395249379322,0.17465788031573012
LOW,0.02654705986102568,0.011728491973751587,-0.00885469176512399,0.0001876685614714294,0.12625657431633444
LRCX,0.008785447977621375,-0.011803710321143912,-0.07511600520706807,0.032434398095645085,0.11907118630330167
LULU,0.00422327931764499,-0.008808317925946607,-0.05448159247515805,0.1385123120144889,0.1152916159252843
LUV,0.0012368661710634443,-0.014198610357731178,-0.0007774047659172556,0.42309138826125403,-0.026662461548347345
LVS,0.011359360694689347,0.029191724892330795,-0.0012631646601353186,0.01493987350448233,0.19051450821842178
LYB,0.012152332225350837,0.012603928998949354,-0.015505533190319776,0.011807201785521467,0.12388004782552811
LYV,0.029873376641232463,0.011538019736268668,-0.020563921986813227,7.323163888286538e-05,0.12373195985066242
MA,0.025789107295489444,-0.04010033194967888,-0.036927026650436234,0.00023264673911589415,-0.04470725065119347
MAA,0.04424105448714033,-0.08103298331633635,-0.003042891027528416,1.2740645062867327e-06,-0.008884630761546412
MAR,0.009738069408619876,-0.0474940755943456,-0.0931180254060453,0.02428810707714299,-0.012914815514791508
MAS,0.027337893643365696,-0.03462370882568111,-0.044275657270504754,0.00015000897038008738,0.04254845036812438
MCD,0.005622612858923404,0.004164540226021751,-0.019610043973441238,0.08729539107181339,0.06532337928463056
MCHP,1.3106499219150969e-05,-0.0004478772671616671,-0.021405789215871662,0.9342996553480908,0.21061611979239056
